date,exchange_rate
2019-06-18,9311
2019-06-21,9691
2019-06-24,11113
2019-06-27,11695
2019-06-30,10796
2019-07-03,11939
2019-07-06,11145
2019-07-09,12099
2019-07-12,11467
2019-07-15,10838
2019-07-18,9410
2019-07-21,10487
2019-07-24,10082
2019-07-27,9487
2019-07-30,9568
2019-08-02,10531
2019-08-05,11779
2019-08-08,11965
2019-08-11,11367
2019-08-14,10258
2019-08-17,10224
2019-08-20,10899
2019-08-23,10140
2019-08-26,10356
2019-08-29,9522
2019-09-01,9659
2019-09-04,10584
2019-09-07,10439
2019-09-10,10078
2019-09-13,10371
2019-09-16,10218
2019-09-19,10099
2019-09-22,9988
2019-09-25,8486
2019-09-28,8088
2019-09-30,8296
2019-10-03,8266
2019-10-06,8183
2019-10-09,8573
2019-10-12,8324
2019-10-15,8216
2019-10-18,7996
2019-10-21,8296
2019-10-24,7406
2019-10-27,9434
2019-10-30,9151
2019-11-02,9261
2019-11-05,9349
2019-11-08,8770
2019-11-11,8733
2019-11-14,8656
2019-11-17,8545
2019-11-20,8195
2019-11-23,7276
2019-11-26,7125
2019-11-29,7570
2019-12-02,7337
2019-12-05,7432
2019-12-08,7409
2019-12-11,7173
2019-12-14,7096
2019-12-17,6871
2019-12-20,7200
2019-12-23,7351
2019-12-26,7246
2019-12-29,7353
2020-01-01,7200
2020-01-04,7346
2020-01-07,8165
2020-01-10,8024
2020-01-13,8164
2020-01-16,8692
2020-01-19,8662
2020-01-22,8704
2020-01-25,8385
2020-01-28,8476
2020-01-31,9350
2020-02-03,9261
2020-02-06,9745
2020-02-09,9914
2020-02-12,10228
2020-02-15,10232
2020-02-18,9687
2020-02-21,9594
2020-02-24,9604
2020-02-27,8776
2020-03-01,8580
2020-03-04,8740
2020-03-07,9162
2020-03-10,7928
2020-03-13,5547
2020-03-16,5013
2020-03-19,6196
2020-03-22,6256
2020-03-25,6677
2020-03-28,6287
2020-03-31,6410
2020-04-03,6795
2020-04-06,7285
2020-04-09,7326
2020-04-12,6863
2020-04-15,7085
2020-04-18,7127
2020-04-21,7154
2020-04-24,7510
2020-04-27,7715
2020-04-30,8700
2020-05-03,8973
2020-05-06,9059
2020-05-09,8718
2020-05-12,8808
2020-05-15,9730
2020-05-18,9665
2020-05-21,9287
2020-05-24,8719
2020-05-27,8837
2020-05-30,9387
2020-06-02,10139
2020-06-05,9621
2020-06-08,9800
2020-06-11,9331
2020-06-14,9349
2020-06-17,9460
